Name,Link,Price,Display Size,Display Resolution,Processor,OS,SSD,Weight
Infinix InBook X1 Slim,https://www.gadgets360.com/infinix-inbook-x1-slim-price-in-india-110072,N/A,14.00-inch,1920x1080 pixels,Core i7,Windows 11,512GB,1.24 kg
Asus Vivobook 16X (M1603),https://www.gadgets360.com/asus-vivobook-16x-m1603-price-in-india-110065,N/A,16.00-inch,1920x1200 pixels,Ryzen 5,Windows 11,512GB,1.80 kg
Asus Vivobook Pro 14 OLED (M3400),https://www.gadgets360.com/asus-vivobook-pro-14-oled-m3400-price-in-india-110062,"₹ 59,990",14.00-inch,N/A,Ryzen 5,Windows 11,512GB,N/A
Apple MacBook Pro 13-inch 2022,https://www.gadgets360.com/apple-macbook-pro-13-inch-2022-price-in-india-109714,N/A,13.30-inch,N/A,Apple M2,macOS,N/A,N/A
"Apple MacBook Air (M2, 2022)",https://www.gadgets360.com/apple-macbook-air-m2-2022-price-in-india-109713,N/A,13.60-inch,N/A,Apple M2,macOS,512GB,N/A
HP Victus 15 (2022),https://www.gadgets360.com/hp-victus-15-2022-price-in-india-110503,"₹ 56,490",15.60-inch,N/A,N/A,Windows 11,N/A,N/A
HP Omen 16 (2022),https://www.gadgets360.com/hp-omen-16-2022-price-in-india-110501,"₹ 109,999",16.10-inch,N/A,N/A,Windows 11,N/A,N/A
HP Spectre x360 16 f-1003tu,https://www.gadgets360.com/hp-spectre-x360-16-f-1003tu-price-in-india-110008,"₹ 139,999",16.00-inch,3072x1920 pixels,Core i7,Windows 11,512GB,N/A
HP Spectre x360 13.5 ef-0053tu,https://www.gadgets360.com/hp-spectre-x360-13-5-ef-0053tu-price-in-india-110005,"₹ 129,999",13.50-inch,1920x1280 pixels,Core i7,Windows 11,512GB,N/A
HP Envy 17 (2022),https://www.gadgets360.com/hp-ency-17-2022-price-in-india-109016,"₹ 85,000",17.30-inch,2160x3840 pixels,Core i7,Windows 11,N/A,N/A
HP Envy 16 (2022),https://www.gadgets360.com/hp-envy-16-2020-price-in-india-109015,"₹ 109,000",16.00-inch,"1,600x2,560 pixels",Core i9,Windows 11,2TB,N/A
